"last_name","first_name","hire_date"
"Schaaf","Uzi","8/6/1986"
"Rosca","Menkae","8/31/1986"
"Rusterholz","Piyush","5/27/1986"
"Egerstedt","Sverrir","8/27/1986"
"Zielinski","Cristinel","3/15/1986"
"Azevdeo","Shai","3/1/1986"
"Ramsey","Idoia","1/19/1986"
"Desikan","Moss","5/16/1986"
"Brender","Kazuhiro","7/27/1986"
"Collette","Giri","8/5/1986"
"Malabarba","Elgin","7/22/1986"
"Schmiedel","Rosine","7/26/1986"
"Vilarrasa","Ramalingam","1/16/1986"
"Biran","Uwe","12/10/1986"
"Birge","Ziyad","1/5/1986"
"Gilg","Pintsang","6/21/1986"
"Zolotykh","Subhankar","2/5/1986"
"Conti","Yongmao","6/15/1986"
"Malabarba","JoAnna","12/12/1986"
"Duclos","Vishv","4/29/1986"
"Zeleznik","Seongbin","8/18/1986"
"Pileggi","Gunilla","3/7/1986"
"Schach","Geoff","6/16/1986"
"Magalhaes","Shahar","11/23/1986"
"Mitzlaff","Remzi","4/6/1986"
"Stentiford","Takanari","1/3/1986"
"Luff","Sumant","3/14/1986"
"Peir","Heeju","7/17/1986"
"Cmelik","Katsuyuki","9/9/1986"
"Schiettecatte","Sajjad","5/19/1986"
"Ghazalie","Vasilii","8/29/1986"
"Klassen","Atreyi","6/27/1986"
"Gopalakrishnan","Gaetan","7/10/1986"
"Schmittgen","Tomofumi","2/23/1986"
"Savasere","Ravishankar","9/4/1986"
"Vilarrasa","IEEE","9/20/1986"
"Guerreiro","Shigenori","12/20/1986"
"Norsworthy","Menkae","7/31/1986"
"Ohori","Parto","9/18/1986"
"Tagansky","Zhaofang","7/24/1986"
"Junot","Subhada","3/16/1986"
"Baig","Pragnesh","8/7/1986"
"Schaaf","Kristine","7/24/1986"
"Etalle","Gaetan","4/9/1986"
"Rodham","Trygve","9/8/1986"
"Ibel","JoAnne","12/24/1986"
"Wielonsky","Kyoichi","5/14/1986"
"Vesna","Sailaja","9/3/1986"
"Rodite","Heon","8/8/1986"
"Munke","Sanjai","7/30/1986"
"Morrey","Guttorm","7/28/1986"
"Cusworth","Barna","3/23/1986"
"Zirintsis","Mona","5/6/1986"
"Bernatsky","Jacqueline","5/22/1986"
"Sewelson","Weiyi","9/15/1986"
"Dengi","Arto","1/11/1986"
"Francisci","Kauko","8/15/1986"
"Clouatre","Gila","9/6/1986"
"Brattka","Eckart","6/6/1986"
"Vesna","Masako","7/16/1986"
"Brookner","Irene","9/18/1986"
"DiGiano","Srinidhi","12/4/1986"
"Parveen","Oddvar","1/30/1986"
"Randi","Adit","7/21/1986"
"Matzke","Shaowei","4/14/1986"
"Nitto","Fen","9/26/1986"
"Pews","Kayoko","12/10/1986"
"Budinsky","Alassane","3/15/1986"
"Rissanen","Narain","11/22/1986"
"Mungall","Niclas","11/1/1986"
"Simmen","Atreyi","2/12/1986"
"Peral","Goetz","5/18/1986"
"Varman","Jamaludin","4/9/1986"
"Angelopoulos","Nadjib","8/15/1986"
"Murrill","Alair","5/17/1986"
"Bhattacharjee","Almudena","10/1/1986"
"Botman","Bangqing","4/24/1986"
"Peres","Elliott","9/1/1986"
"Rodiger","Christophe","7/22/1986"
"Juneja","Bikash","12/2/1986"
"Tsukuda","Michaela","5/7/1986"
"Tomescu","Make","10/14/1986"
"Genther","Vishu","9/7/1986"
"Picaronny","Shuho","5/17/1986"
"Flexer","Herb","12/27/1986"
"Siksek","Moie","6/23/1986"
"Welham","Xuejia","12/26/1986"
"Zongker","Tsz","2/10/1986"
"Rebaine","Rajmohan","1/28/1986"
"Nivat","Munenori","4/9/1986"
"Hebert","Terresa","5/28/1986"
"Lamma","Baocai","2/18/1986"
"Sifakis","Tetsurou","10/29/1986"
"Bratten","Kellyn","12/29/1986"
"Tibblin","Rosli","1/4/1986"
"Tagansky","Marsha","12/19/1986"
"Rosin","Nalini","6/7/1986"
"Maginnis","Zorica","2/3/1986"
"Vasanthakumar","Alper","11/12/1986"
"Birdsall","Divine","12/17/1986"
"Poehlman","Rafael","4/11/1986"
"Veevers","Suzette","11/29/1986"
"Luft","Fumiko","9/18/1986"
"Demeyer","Aran","4/26/1986"
"Bierman","Fumitake","7/24/1986"
"Schueller","Zejun","5/20/1986"
"Rosin","Dmitry","10/16/1986"
"Tischendorf","Mariangiola","4/20/1986"
"Zschoche","Taegyun","2/4/1986"
"Maccarone","Weicheng","11/26/1986"
"Motley","Somnath","6/25/1986"
"Uhrig","Wonhee","8/8/1986"
"Syang","Haldun","1/27/1986"
"Lipner","Abdulla","11/22/1986"
"Servieres","Chaoyi","9/22/1986"
"Boreale","Kyoichi","1/21/1986"
"Tetzlaff","Sugwoo","5/28/1986"
"Luan","Theirry","10/27/1986"
"Menyhert","Bernt","1/6/1986"
"Kandlur","Tremaine","12/15/1986"
"Talmon","Bangqing","1/12/1986"
"Molberg","Babette","4/17/1986"
"Krichel","Lena","6/16/1986"
"Rassart","Irene","7/25/1986"
"Stenning","Sarita","9/2/1986"
"Marzano","Mansur","2/22/1986"
"Naumovich","Feixiong","12/17/1986"
"Servieres","Sanjay","1/1/1986"
"Kushner","Marie","7/7/1986"
"Zschoche","Naraig","4/10/1986"
"Glowinski","Mantis","10/9/1986"
"Morrow","Chikara","10/21/1986"
"Babb","Yucel","2/10/1986"
"Boissier","JiYoung","4/14/1986"
"Garigliano","Eishiro","8/17/1986"
"Lanphier","Phuoc","11/8/1986"
"Zlotek","Haldun","8/14/1986"
"Vickson","Jinxi","9/29/1986"
"Gerlach","Percy","7/7/1986"
"Walstra","Kristen","9/3/1986"
"Zucker","Hyuckchul","8/20/1986"
"Schwaller","Zine","5/7/1986"
"Heiserman","Kazunori","8/9/1986"
"Lichtman","Stella","9/29/1986"
"Plotkin","Rasikan","2/27/1986"
"Hockney","Billur","12/5/1986"
"Koyama","Tran","9/1/1986"
"Gist","Alain","6/16/1986"
"Grospietsch","JoAnna","5/13/1986"
"Otillio","Jinya","11/15/1986"
"Yoshizawa","Wojceich","5/4/1986"
"Halevi","Xianlong","9/24/1986"
"Bharadwaj","Huiqun","7/28/1986"
"Vanwelkenhuysen","Serap","8/26/1986"
"Schrift","Jayesh","4/5/1986"
"Cusworth","Nitsan","5/25/1986"
"Tzvieli","Aluzio","7/27/1986"
"Kroha","Vishu","12/31/1986"
"Tyugu","Shugo","4/21/1986"
"Randi","Arif","7/11/1986"
"Shigei","Francesca","5/4/1986"
"Oxenboll","Feiyu","12/28/1986"
"Atchley","Yongqiao","6/23/1986"
"Varker","Stamatina","6/14/1986"
"Champarnaud","Mahendra","2/2/1986"
"Petersohn","Vishwani","4/26/1986"
"Harllee","Remzi","8/6/1986"
"Perly","Isamu","8/22/1986"
"Rabejac","Berto","8/7/1986"
"Rodier","Shin","6/6/1986"
"Luga","Stabislas","5/28/1986"
"Heping","Pintsang","8/25/1986"
"Heystek","Uriel","3/12/1986"
"Wiegley","Snehasis","11/6/1986"
"Ozeri","Toshimitsu","8/9/1986"
"Zultner","Serap","7/28/1986"
"Larfeldt","Shin","12/22/1986"
"Lienhardt","Yunming","12/13/1986"
"Hinsberger","Suzette","8/7/1986"
"Iivonen","Franziska","2/1/1986"
"Rajala","Jordanka","9/28/1986"
"Hanratty","Lenore","6/8/1986"
"Bala","Macha","8/24/1986"
"Irland","Collette","4/12/1986"
"Baez","Douadi","6/19/1986"
"Furudate","Tomokazu","1/6/1986"
"Khalid","Perla","10/13/1986"
"Gruenwald","Phuoc","1/5/1986"
"Perry","Angel","5/26/1986"
"Nilsson","Amstein","8/6/1986"
"Alpin","Khosrow","10/28/1986"
"Thummel","Jacqueline","5/20/1986"
"Rubsam","Khalil","1/31/1986"
"Pargas","Inderjeet","3/25/1986"
"Driscoll","Adamantios","6/15/1986"
"Bridgland","Lubomir","1/15/1986"
"Pehl","Yakkov","8/17/1986"
"Cesareni","Aron","12/4/1986"
"Molenkamp","Wilmer","1/26/1986"
"Thebaut","Arunachalam","7/27/1986"
"Stassinopoulos","Adib","9/13/1986"
"Eppinger","Kayoko","4/12/1986"
"Daescu","Berhard","1/8/1986"
"Shobatake","Zita","1/1/1986"
"Walstra","Kaijung","4/4/1986"
"Hiyoshi","Aimee","6/24/1986"
"Meszaros","Sampalli","7/14/1986"
"Zhang","Kazuhiko","10/13/1986"
"Ertl","Gudjon","9/1/1986"
"Rosti","Bikash","4/30/1986"
"Conta","Divine","10/9/1986"
"Eiter","Inderjeet","2/5/1986"
"Breugel","Iara","6/2/1986"
"Otillio","Keung","9/17/1986"
"Condotta","Ravishankar","2/22/1986"
"Zaumen","Tsz","7/20/1986"
"Munro","Xinglin","6/30/1986"
"Giaccio","Abdulah","9/26/1986"
"Hedayat","Jayesh","4/8/1986"
"Templeman","Aris","7/21/1986"
"Delaune","Udi","3/4/1986"
"Aamodt","Valeri","7/28/1986"
"Zyda","Bluma","9/25/1986"
"Geffroy","Barry","1/23/1986"
"Munawer","Aksel","5/7/1986"
"Gyimothy","Mario","8/13/1986"
"Kuhnemann","Sariel","6/27/1986"
"Preusig","Pintsang","3/12/1986"
"Akaboshi","TRUE","12/23/1986"
"Osgood","Maha","5/18/1986"
"Rahier","Xiaoshan","2/2/1986"
"Senzako","Shuky","9/29/1986"
"Cools","Chrisa","8/21/1986"
"Georg","Mack","6/23/1986"
"Kalloufi","Padma","9/23/1986"
"Pero","Srinidhi","12/31/1986"
"Ghemri","Adil","2/8/1986"
"Murtafg","Subhash","8/10/1986"
"Pocchiola","Sachio","3/2/1986"
"Demeyer","Lunjin","6/5/1986"
"Sabnani","Mart","9/23/1986"
"Berendt","Zsolt","2/26/1986"
"Gniady","Rafail","7/3/1986"
"Hammerschmidt","Georgy","1/20/1986"
"Vidya","Bernd","4/26/1986"
"Benaini","Arve","4/7/1986"
"Falby","Basant","8/30/1986"
"Khasidashvili","Vasilii","7/19/1986"
"Eldridge","Eldridge","6/24/1986"
"Demke","Kazuhisa","7/9/1986"
"Farrag","Oscal","8/4/1986"
"Rosar","Satyanarayana","5/7/1986"
"Skrikant","Iara","4/29/1986"
"Schwaller","Junichi","10/17/1986"
"Ruemmler","Sibyl","12/1/1986"
"Kamber","Tetsushi","1/16/1986"
"Puppo","Suvo","2/10/1986"
"Chenoweth","Navin","6/9/1986"
"Wolniewicz","Martial","6/10/1986"
"Chandrasekhar","Tetsurou","7/25/1986"
"Veldwijk","Zongyan","10/16/1986"
"Chinin","Mokhtar","3/14/1986"
"Benzmuller","Rosalyn","3/14/1986"
"Himler","Radhakrishnan","9/15/1986"
"Demos","Takahiro","1/30/1986"
"Vuskovic","Teunis","4/10/1986"
"Lyonns","Martien","4/24/1986"
"Restivo","Parviz","3/20/1986"
"Rosaz","Nahla","1/4/1986"
"Baezner","Golgen","4/25/1986"
"Gien","Fumitake","9/20/1986"
"Molenaar","Lokesh","7/21/1986"
"Krider","Maia","12/21/1986"
"Servi","Kinh","12/25/1986"
"Cooke","Isamu","5/6/1986"
"Beznosov","Susuma","11/10/1986"
"Bade","Pascal","2/18/1986"
"Perri","Reinhard","4/17/1986"
"Gecsel","Paloma","9/26/1986"
"Heping","Ziyad","1/18/1986"
"Takanami","Sumant","12/30/1986"
"Przulj","Wayne","11/19/1986"
"Pero","Noritoshi","2/4/1986"
"Rajala","Taiji","1/3/1986"
"Barriga","Tesuya","7/19/1986"
"Shihab","Zissis","10/19/1986"
"Scharstein","Mototsugu","6/26/1986"
"Krychniak","Halsur","8/2/1986"
"Emmart","Aria","6/3/1986"
"Luders","Van","8/13/1986"
"Ramsey","Paraskevi","5/21/1986"
"Gewali","Caolyn","7/9/1986"
"Hennings","Guoxiang","7/2/1986"
"Himler","Emdad","10/29/1986"
"Rosar","Jinxi","11/12/1986"
"Couchot","Jaber","2/19/1986"
"Dymetman","Nahid","11/7/1986"
"Wixon","Luise","12/22/1986"
"Hinsberger","Uno","1/16/1986"
"Lichtner","Maren","3/5/1986"
"Schlegelmilch","Jaideep","3/4/1986"
"Bonifati","Geraldo","8/15/1986"
"Yetim","Yuriy","7/23/1986"
"Aloisi","Kristinn","5/29/1986"
"Roison","Shigeaki","7/10/1986"
"Gini","Mototsugu","6/4/1986"
"Clemencon","Xiahua","6/12/1986"
"Poupard","Sedat","10/24/1986"
"Birsak","Jeane","4/19/1986"
"Zaiane","Marlo","2/6/1986"
"Munch","Tonny","1/19/1986"
"Linnainmaa","Youssef","3/30/1986"
"Ramsak","Srinidhi","2/5/1986"
"Gaughan","Heng","1/19/1986"
"Billawala","Przemyslawa","5/25/1986"
"Moffat","Berry","12/17/1986"
"Flowers","Berto","1/28/1986"
"Cromarty","Luerbio","9/2/1986"
"Gubsky","Surveyors","5/29/1986"
"Cooley","Lucian","2/11/1986"
"Manders","Dzung","11/10/1986"
"Rissland","Huican","7/13/1986"
"Copas","Adam","3/3/1986"
"Smailagic","Chuanyi","8/4/1986"
"Gyorkos","Tayeb","8/11/1986"
"Angot","Ymte","6/18/1986"
"Wielonsky","Remko","4/26/1986"
"Axelband","Seongbae","4/26/1986"
"Schiper","Along","4/2/1986"
"Gustavson","Arco","6/28/1986"
"Hopewell","Abdelghani","9/27/1986"
"Msuda","Martien","3/2/1986"
"Michaels","Hironobu","2/18/1986"
"Schmiedel","Niclas","3/13/1986"
"Pramanik","Zito","2/27/1986"
"Cardazo","Udaiprakash","12/26/1986"
"Chandrasekhar","Behnaam","5/19/1986"
"Maraist","Susumu","4/1/1986"
"Hennings","Susanne","3/4/1986"
"Redmiles","Marsha","12/14/1986"
"Kalorkoti","Tadahiro","5/10/1986"
"Rajaraman","Fumiyo","9/11/1986"
"Hoogerwoord","Mori","1/18/1986"
"Bernatsky","Takahiro","3/5/1986"
"Clouatre","Sushant","7/11/1986"
"Hofting","Sreekrishna","1/26/1986"
"Senzako","Aloys","2/3/1986"
"Pettey","Changho","9/7/1986"
"Bail","Subbu","12/22/1986"
"Kropf","Apostol","2/16/1986"
"Ozeki","Shan","4/24/1986"
"Gien","Constantine","7/25/1986"
"Neimat","Sasan","11/30/1986"
"Kroll","Candido","12/17/1986"
"Koprowski","Sarita","3/20/1986"
"Marrevee","Dung","5/10/1986"
"Nations","Spyrose","1/5/1986"
"Shiratori","Chenxi","5/27/1986"
"Schaap","Claudi","5/17/1986"
"Khamsi","Valeri","9/14/1986"
"Leppanen","Nevin","6/13/1986"
"Baba","Eldridge","12/6/1986"
"Baik","Tomoyuki","10/15/1986"
"Litecky","Kshitij","3/23/1986"
"Parhami","Aral","6/22/1986"
"Ebeling","Lidong","9/9/1986"
"Litzkow","Sham","8/11/1986"
"Suermann","Guenter","7/30/1986"
"Hatcliff","Adamantios","7/3/1986"
"Buescher","Jacopo","2/6/1986"
"Schaft","Nikolaus","1/10/1986"
"Klerer","Shahid","11/8/1986"
"Lamba","Arif","4/22/1986"
"Geffroy","Jixiang","8/28/1986"
"Escriba","Reuven","2/17/1986"
"Maccarone","Evgueni","12/12/1986"
"Birsak","Alagu","10/27/1986"
"Lodder","Torsten","6/5/1986"
"Matzel","Nevin","4/9/1986"
"Chinal","Jackson","3/17/1986"
"Cools","Oscal","8/12/1986"
"Stamatiou","Shigeichiro","8/14/1986"
"Waschkowski","Sandeepan","10/22/1986"
"Shimshoni","Licheng","10/1/1986"
"Wendorf","Mamdouh","3/28/1986"
"Madeira","Sadun","9/22/1986"
"Luby","Kazuhito","11/29/1986"
"Sidou","Mountaz","8/13/1986"
"Baaleh","Parviz","11/14/1986"
"Kalsbeek","Berna","6/9/1986"
"Mahmud","Oscal","4/1/1986"
"Kampfer","Alexius","7/3/1986"
"Bugaenko","Zhonghui","4/2/1986"
"Ventosa","Waiman","2/1/1986"
"Engberts","Dekang","4/24/1986"
"Vingron","Jaana","11/9/1986"
"Oppitz","Parto","8/24/1986"
"Kuszyk","Tze","8/13/1986"
"Vitiello","Abdelaziz","11/28/1986"
"Terekhov","Jiakeng","3/11/1986"
"Reeken","Bedir","2/12/1986"
"Cooley","Zijian","3/29/1986"
"Brodie","Zhenbing","6/18/1986"
"Mattern","Lidong","2/26/1986"
"Hainaut","Sumant","4/8/1986"
"Fujisaki","Odoardo","8/30/1986"
"Monarch","Lihong","3/10/1986"
"Conry","Syozo","7/9/1986"
"Tyugu","Georgy","1/24/1986"
"Iivonen","Percy","6/5/1986"
"Hanratty","Byong","5/12/1986"
"Kirkerud","Lunjin","4/10/1986"
"Veeraraghavan","Alselm","5/11/1986"
"Kalloufi","Minghong","6/26/1986"
"Baak","Odysseas","10/4/1986"
"Kawashima","Wojceich","3/27/1986"
"Picco","Mads","1/7/1986"
"Koshino","Richara","4/30/1986"
"Reeken","Yolla","5/24/1986"
"Mapelli","Anneke","9/25/1986"
"Hempstead","Heping","6/2/1986"
"Puppo","Roddy","12/18/1986"
"Koshiba","Gad","7/25/1986"
"Bade","Rimli","10/31/1986"
"Peha","Masanao","12/6/1986"
"Ramalingam","Yurij","7/16/1986"
"Azevdeo","Vitali","1/30/1986"
"Luft","Richard","7/23/1986"
"Munck","Rosine","3/21/1986"
"Kitai","Shahaf","12/26/1986"
"Khamsi","Kwee","12/29/1986"
"Skafidas","JiYoung","7/19/1986"
"Oppitz","Quingbo","10/16/1986"
"Schneeberger","Somnath","2/4/1986"
"Thummel","Chanjung","12/5/1986"
"Zirintsis","Xumin","6/26/1986"
"Weiland","Chikako","1/20/1986"
"Czap","Sanjai","11/16/1986"
"Heuser","Remzi","11/20/1986"
"Gecsei","Jianhua","3/5/1986"
"Neiman","Mohua","1/11/1986"
"Emiris","Nigel","3/21/1986"
"McFarlin","Subir","6/19/1986"
"Cangellaris","Tianruo","4/12/1986"
"Kranzdorf","Selwyn","6/18/1986"
"Asser","Steen","12/2/1986"
"Katiyar","Tzvetan","12/27/1986"
"Maginnis","Denis","6/8/1986"
"Krzyzanowski","Palash","12/15/1986"
"Woycyznski","Navid","1/9/1986"
"Polajnar","Takushi","4/6/1986"
"Atchley","Boutros","8/8/1986"
"Cmelik","Zvonko","11/13/1986"
"Calkin","Neelam","1/4/1986"
"Birch","Douadi","12/23/1986"
"Ishibashi","Uno","2/15/1986"
"Wrigley","Kerryn","12/16/1986"
"Axelband","Harjit","5/9/1986"
"Remmele","Yechezkel","5/2/1986"
"Schoegge","Christoper","10/23/1986"
"Rindone","Jiong","10/24/1986"
"Bierbaum","Saeed","12/22/1986"
"Pappas","Nevio","9/20/1986"
"Casperson","Tru","1/24/1986"
"Murtha","Krister","7/14/1986"
"Spell","Tesuro","7/30/1986"
"Honiden","Toshiko","8/8/1986"
"Callaway","Mary","9/8/1986"
"Gopalakrishnan","Morris","5/9/1986"
"Ranai","Gian","7/12/1986"
"Glinert","Shunichi","9/20/1986"
"Motley","Paraskevi","10/6/1986"
"Nastansky","Lokesh","2/11/1986"
"Boissier","Jaideep","1/15/1986"
"Lanphier","Gil","10/16/1986"
"Leonhardt","Aluzio","10/25/1986"
"Zielinski","Tze","11/14/1986"
"Braunmuhl","Shugo","3/16/1986"
"Moffat","Pradeep","9/20/1986"
"Vitiello","Aran","4/26/1986"
"Steenbeek","Rimli","9/2/1986"
"Calkin","Leucio","9/11/1986"
"Hardjono","Yuqun","8/31/1986"
"Cronin","Tonia","3/3/1986"
"Openshaw","Karlis","11/4/1986"
"Mattern","Randi","5/8/1986"
"Marciano","Jasminko","5/11/1986"
"Emiris","Ugo","6/8/1986"
"Benantar","Badri","9/30/1986"
"Guting","Xiaopeng","1/19/1986"
"Conti","Chinya","9/14/1986"
"Iwayama","Lubomir","9/18/1986"
"Tibblin","Shirish","3/15/1986"
"Radivojevic","Dekang","7/25/1986"
"Lichtner","Genevieve","7/23/1986"
"Kawashima","Moty","1/29/1986"
"Grospietsch","Sergi","7/16/1986"
"Belinskaya","Bouchung","7/8/1986"
"Couchot","Pintsang","1/31/1986"
"Murillo","Kristine","6/6/1986"
"Siksek","Werner","6/24/1986"
"Dulin","Rosine","8/2/1986"
"Mandell","Mitchel","9/16/1986"
"Sankaranarayanan","Denny","5/18/1986"
"Ghelli","Cristinel","1/5/1986"
"Llado","Freyja","3/26/1986"
"Stanger","Chaosheng","9/17/1986"
"Sadowski","Aruna","12/3/1986"
"McConalogue","Oldrich","9/24/1986"
"Sadowski","Patricia","6/11/1986"
"Antonisse","Boriana","5/16/1986"
"Minakawa","Eirik","12/21/1986"
"Zultner","Mokhtar","1/30/1986"
"Farris","Remko","2/3/1986"
"Larfeldt","Satoru","3/10/1986"
"Roisin","Lein","5/8/1986"
"Kranzdorf","Marjo","10/31/1986"
"Fargier","Marco","6/28/1986"
"Noriega","Deniz","10/12/1986"
"Oaver","Junsik","5/27/1986"
"Mitzlaff","Mircea","11/21/1986"
"Glinert","Sanjoy","12/11/1986"
"Guting","Tesuya","6/20/1986"
"Yemenis","Arch","10/8/1986"
"Rissland","Dmitry","4/13/1986"
"Kropf","Mads","3/29/1986"
"Michaeli","Sivanarayana","5/30/1986"
"Nitto","Hyuckchul","1/3/1986"
"Marrakchi","Ult","3/24/1986"
"Dichev","Paris","3/12/1986"
"Murtagh","Malu","9/27/1986"
"Ratnakar","Mayuri","3/3/1986"
"Birrer","Conor","6/5/1986"
"Leivant","Jackson","12/30/1986"
"Facello","Ramya","2/23/1986"
"Michaels","Satoru","10/24/1986"
"Blokdijk","Huai","3/20/1986"
"Redmiles","Barry","4/25/1986"
"Lowrie","Fai","11/27/1986"
"Binkley","Maik","6/26/1986"
"Gammage","Emdad","2/7/1986"
"Shackell","Alejandro","5/10/1986"
"Dayana","Magdalena","3/8/1986"
"Selvestrel","Patricio","12/27/1986"
"Brodal","Shuji","7/1/1986"
"Yetim","Danae","10/29/1986"
"Stellhorn","Hidefumi","7/12/1986"
"Lung","Oscar","11/5/1986"
"Leijenhorst","Hugh","7/18/1986"
"Luan","Tadahiro","12/2/1986"
"Poupard","Ulf","5/21/1986"
"Clouatre","Jiafu","3/31/1986"
"Schapire","Subhankar","12/24/1986"
"Maliniak","Sumali","8/26/1986"
"Yemenis","Youpyo","12/23/1986"
"Gonthier","Venkatesan","3/27/1986"
"Camurati","Sakthirel","12/8/1986"
"Besancenot","Rosalie","12/30/1986"
"Asmuth","Arunas","9/28/1986"
"Shumilov","Jaideep","12/19/1986"
"Panienski","Chuanyi","9/24/1986"
"Bahi","Hyuncheol","9/18/1986"
"Pargaonkar","Val","2/6/1986"
"Mayerwieser","Shuky","5/16/1986"
"Tramer","Dinah","3/10/1986"
"Nastansky","Hisao","5/26/1986"
"Klerer","Uma","5/4/1986"
"DuCasse","Danai","5/11/1986"
"Ishibashi","Mircea","3/9/1986"
"Siprelle","Giap","6/25/1986"
"Cmelik","Goh","6/4/1986"
"Snedden","Nitsan","4/17/1986"
"Wossner","Ashish","4/23/1986"
"Middleton","Petter","10/29/1986"
"Puoti","Barton","12/31/1986"
"Wiegley","Dietrich","1/19/1986"
"Lieberherr","Apostol","1/25/1986"
"Nannarelli","Rosalie","1/21/1986"
"Litecky","Yuriy","6/12/1986"
"Erman","Shigeaki","2/21/1986"
"Ushiama","Shay","11/15/1986"
"Skrikant","Bouchung","9/17/1986"
"Uhrik","Bernt","2/9/1986"
"Munawer","Vishwani","12/27/1986"
"Flowers","Chikara","12/31/1986"
"Suermann","Domenick","9/26/1986"
"Herber","Petter","3/23/1986"
"Wolniewicz","Lalit","6/7/1986"
"Braunmuhl","Hideyuki","3/12/1986"
"Dusink","Insup","10/19/1986"
"Raoux","Honesty","7/8/1986"
"Arlazarov","Malu","10/28/1986"
"Thambidurai","Danae","4/13/1986"
"Trystram","Uzi","10/18/1986"
"Stafford","Along","8/13/1986"
"Benzaken","Randi","3/30/1986"
"Przulj","Lansing","2/23/1986"
"Verhaegen","Marlo","2/27/1986"
"Shanbhogue","Noritoshi","9/30/1986"
"Pouyioutas","Moriyoshi","4/16/1986"
"Hofman","Weiye","10/20/1986"
"Heinisuo","Erzsebet","8/8/1986"
"Thebaut","Shigehiro","12/11/1986"
"Jansen","Falguni","11/12/1986"
"Narlikar","Arne","5/23/1986"
"Kumaresan","Vishu","5/3/1986"
"Rosch","Utz","3/18/1986"
"Basart","Fumiya","6/8/1986"
"Ghalwash","Francesca","7/4/1986"
"Escriba","Owen","3/30/1986"
"Marchesini","Mack","9/19/1986"
"Bolsens","Tse","7/31/1986"
"Kalloufi","Duri","2/3/1986"
"Marsiglia","Yongqiao","1/30/1986"
"Suwa","Godehard","11/12/1986"
"Luon","Sailaja","1/5/1986"
"Ohori","Mohua","1/15/1986"
"Collette","Tonny","10/29/1986"
"Eldridge","Masaki","8/26/1986"
"Yemenis","Zongyan","1/26/1986"
"Billawala","Adamantios","7/12/1986"
"Kading","Elliott","3/16/1986"
"Grospietsch","Shem","6/1/1986"
"Kolvik","Ymte","12/8/1986"
"Strandh","Mang","12/18/1986"
"Kuszyk","Geoff","5/9/1986"
"Picaronny","Oscar","5/2/1986"
"Farrag","Mari","5/27/1986"
"Birch","Fumiyo","6/2/1986"
"Businaro","Francesca","3/28/1986"
"Albarhamtoshy","Parke","12/25/1986"
"Demizu","Mansur","7/8/1986"
"Kandlur","Fumino","3/4/1986"
"Bolsens","Tianruo","6/13/1986"
"Speckmann","Rance","10/6/1986"
"Morrin","Garnik","10/21/1986"
"Jiafu","Yechiam","11/21/1986"
"Rosar","Shuho","4/27/1986"
"Masand","Patricio","4/26/1986"
"Ossenbruggen","Christfried","7/8/1986"
"Levasseur","Demin","10/2/1986"
"Welham","Mircea","4/16/1986"
"Rullman","Hitofumi","2/11/1986"
"Gewali","Hinrich","1/25/1986"
"Geffroy","Nobuyoshi","3/18/1986"
"Setia","Emran","5/22/1986"
"Muhling","Moheb","4/11/1986"
"Underwood","Mostafa","9/19/1986"
"Birke","Kensei","6/24/1986"
"Coombs","Manibrata","11/17/1986"
"Cromarty","Elrique","12/12/1986"
"Bernardeschi","Shiv","12/5/1986"
"Schaaf","Boalin","6/7/1986"
"Ranft","IEEE","1/16/1986"
"Halloran","Stepehn","9/23/1986"
"Trelles","Berto","6/11/1986"
"Gewali","Branimir","10/22/1986"
"Birrer","Tran","7/11/1986"
"Rosch","Sumali","5/19/1986"
"Toyoshima","Arfst","5/8/1986"
"Tsukune","Sarita","2/2/1986"
"Figueira","Charlene","5/1/1986"
"Duclos","Mitsuyuki","10/8/1986"
"Nishimukai","Chirstian","7/4/1986"
"Jakobus","Alair","5/1/1986"
"Petereit","Shridhar","9/18/1986"
"Maccarone","Toshimo","7/13/1986"
"Giveon","Kiam","6/19/1986"
"Worfolk","Babette","6/29/1986"
"Heusch","Almudena","7/18/1986"
"Jiafu","Kayoko","1/28/1986"
"Sanella","Berni","7/14/1986"
"Mapelli","Menkae","7/15/1986"
"Yoshizawa","Almudena","2/12/1986"
"Hoogerwoord","Conal","6/9/1986"
"Swift","Paris","4/5/1986"
"Peroz","Vivian","8/16/1986"
"Rosis","Toney","6/30/1986"
"Chenoweth","Gladys","10/25/1986"
"Eiter","Billur","2/8/1986"
"Miculan","Kersti","12/15/1986"
"Wrigley","Leif","1/6/1986"
"Yetto","Akeno","1/8/1986"
"Casley","Vidar","9/16/1986"
"Tramer","Akemi","1/31/1986"
"Brattka","Shao","1/9/1986"
"Sommen","Hironoby","2/25/1986"
"Weisert","Alair","12/18/1986"
"Plotkin","Kazuhisa","10/27/1986"
"Sabnani","Bojan","8/7/1986"
"Oberman","Fei","12/16/1986"
"Loncour","Zhensheng","1/6/1986"
"Marciano","Nagui","2/22/1986"
"Domenig","Janalee","5/7/1986"
"Peris","Ronnie","6/6/1986"
"Bail","Jinya","2/19/1986"
"Comyn","Tua","4/18/1986"
"Beznosov","Mohan","10/10/1986"
"Koshino","Atreye","3/23/1986"
"Provine","Luigi","11/12/1986"
"Azulay","Anneke","4/22/1986"
"Murthy","Duke","3/7/1986"
"Ushiama","Kitty","3/24/1986"
